门架名称,状态,车辆编号,车型,轨迹编号,时间戳
门架5,正常,车000026,客车,4.0,1645932625.0
门架6,正常,车000026,客车,4.0,1645932791.0
门架7,正常,车000026,客车,4.0,1645933007.0
门架8,正常,车000026,客车,4.0,1645933685.0
门架9,正常,车000026,客车,4.0,1645934021.0
门架10,正常,车000026,客车,4.0,1645934106.0
门架11,正常,车000026,客车,4.0,1645934453.0
门架12,正常,车000026,客车,4.0,1645934711.0
门架13,正常,车000026,客车,4.0,1645934906.0
门架7,正常,车000027,客车,1.0,1645490820.0
门架8,正常,车000027,客车,1.0,1645491506.0
门架9,正常,车000027,客车,1.0,1645491840.0
门架10,正常,车000027,客车,1.0,1645491930.0
门架1,正常,车000028,客车,1.0,1645512040.0
门架2,正常,车000028,客车,1.0,1645513561.0
门架3,正常,车000028,客车,1.0,1645513632.0
门架5,正常,车000028,客车,2.0,1645531414.0
门架6,正常,车000028,客车,2.0,1645531535.0
门架7,正常,车000028,客车,2.0,1645531725.0
门架8,正常,车000028,客车,2.0,1645532330.0
门架9,正常,车000028,客车,2.0,1645532670.0
门架10,正常,车000028,客车,2.0,1645532745.0
门架11,正常,车000028,客车,2.0,1645532930.0
门架12,正常,车000028,客车,2.0,1645533351.0
门架13,正常,车000028,客车,2.0,1645533351.0
门架5,正常,车000028,客车,3.0,1645951392.0
门架6,正常,车000028,客车,3.0,1645951516.0
门架7,正常,车000028,客车,3.0,1645951705.0
门架8,正常,车000028,客车,3.0,1645952407.0
门架9,正常,车000028,客车,3.0,1645952781.0
门架10,正常,车000028,客车,3.0,1645952866.0
门架11,正常,车000028,客车,3.0,1645953105.0
门架12,正常,车000028,客车,3.0,1645953523.0
门架13,正常,车000028,客车,3.0,1645953526.0
门架5,正常,车000029,客车,1.0,1645856536.0
门架6,正常,车000029,客车,1.0,1645856661.0
门架7,正常,车000029,客车,1.0,1645856849.0
门架8,正常,车000029,客车,1.0,1645857487.0
门架9,正常,车000029,客车,1.0,1645858336.0
门架10,正常,车000029,客车,1.0,1645858416.0
门架11,正常,车000029,客车,1.0,1645858662.0
门架12,正常,车000029,客车,1.0,1645859014.0
门架7,正常,车000030,客车,1.0,1645603720.0
门架8,正常,车000030,客车,1.0,1645604375.0
门架9,正常,车000030,客车,1.0,1645604715.0
门架10,正常,车000030,客车,1.0,1645604806.0
门架14,正常,车000031,客车,2.0,1645586096.0
门架15,正常,车000031,客车,2.0,1645587081.0
门架12,正常,车000032,客车,1.0,1645839735.0
门架13,正常,车000032,客车,1.0,1645839901.0
门架14,正常,车000032,客车,1.0,1645840256.0
门架15,正常,车000032,客车,1.0,1645840973.0
门架4,正常,车000033,客车,1.0,1645657245.0
门架2,正常,车000033,客车,2.0,1645693802.0
门架3,正常,车000033,客车,2.0,1645693867.0
门架5,正常,车000034,客车,1.0,1645669361.0
门架3,正常,车000034,客车,1.0,1645669838.0
门架4,正常,车000034,客车,1.0,1645670754.0
门架1,正常,车000035,货车,1.0,1645703929.0
门架2,正常,车000035,货车,1.0,1645705659.0
门架3,正常,车000035,货车,1.0,1645705730.0
门架4,正常,车000036,货车,1.0,1645706134.0
门架4,正常,车000036,货车,3.0,1645790300.0
门架4,正常,车000036,货车,4.0,1645875585.0
门架4,正常,车000036,货车,5.0,1645961810.0
门架7,正常,车000038,客车,2.0,1645526361.0
门架8,正常,车000038,客车,2.0,1645527111.0
门架7,正常,车000038,客车,3.0,1645599440.0
门架8,正常,车000038,客车,3.0,1645600141.0
门架6,漏过,车000038,客车,4.0,1645632714.5
门架5,正常,车000038,客车,4.0,1645632555.0
门架7,正常,车000038,客车,4.0,1645632874.0
门架8,正常,车000038,客车,4.0,1645633450.0
门架9,正常,车000038,客车,4.0,1645633790.0
门架10,正常,车000038,客车,4.0,1645633870.0
门架11,正常,车000038,客车,4.0,1645634049.0
门架7,正常,车000038,客车,5.0,1645675101.0
门架8,正常,车000038,客车,5.0,1645675716.0
门架7,正常,车000038,客车,6.0,1645967165.0
门架8,正常,车000038,客车,6.0,1645967795.0
门架12,正常,车000039,客车,1.0,1645516075.0
门架13,正常,车000039,客车,1.0,1645516208.0
门架8,漏过,车000040,客车,1.0,1645519621.0
门架6,正常,车000040,客车,1.0,1645518921.0
门架7,正常,车000040,客车,1.0,1645519116.0
门架9,正常,车000040,客车,1.0,1645520126.0
门架10,正常,车000040,客车,1.0,1645520205.0
门架11,正常,车000040,客车,1.0,1645520486.0
门架12,正常,车000040,客车,1.0,1645520805.0
门架15,正常,车000040,客车,2.0,1645773515.0
门架2,正常,车000041,客车,1.0,1645863683.0
门架3,正常,车000041,客车,1.0,1645863781.0
门架4,正常,车000041,客车,1.0,1645864246.0
门架5,正常,车000041,客车,1.0,1645864592.0
门架7,正常,车000042,客车,1.0,1645612935.0
门架8,正常,车000042,客车,1.0,1645613525.0
门架9,正常,车000042,客车,1.0,1645613850.0
门架10,正常,车000042,客车,1.0,1645613935.0
门架11,正常,车000042,客车,1.0,1645614110.0
门架12,正常,车000042,客车,1.0,1645614525.0
门架13,正常,车000042,客车,1.0,1645614655.0
门架14,正常,车000042,客车,1.0,1645614886.0
门架15,正常,车000042,客车,1.0,1645615645.0
门架7,正常,车000042,客车,2.0,1645781782.0
门架8,正常,车000042,客车,2.0,1645782445.0
门架9,正常,车000042,客车,2.0,1645782801.0
门架10,正常,车000042,客车,2.0,1645782886.0
门架11,正常,车000042,客车,2.0,1645783167.0
门架12,正常,车000042,客车,2.0,1645783442.0
门架13,正常,车000042,客车,2.0,1645783541.0
门架14,正常,车000042,客车,2.0,1645783886.0
门架15,正常,车000042,客车,2.0,1645784802.0
门架6,漏过,车000043,客车,1.0,1645604560.5
门架5,正常,车000043,客车,1.0,1645604380.0
门架7,正常,车000043,客车,1.0,1645604741.0
门架8,正常,车000043,客车,1.0,1645605415.0
门架9,正常,车000043,客车,1.0,1645606256.0
门架10,正常,车000043,客车,1.0,1645606340.0
门架11,正常,车000043,客车,1.0,1645606575.0
门架12,正常,车000043,客车,1.0,1645606980.0
门架13,正常,车000043,客车,1.0,1645606991.0
门架14,正常,车000043,客车,1.0,1645607324.0
门架15,正常,车000043,客车,1.0,1645608058.0
门架7,正常,车000044,客车,1.0,1645510183.0
门架8,正常,车000044,客车,1.0,1645510801.0
门架9,正常,车000044,客车,1.0,1645511125.0
门架10,正常,车000044,客车,1.0,1645511202.0
门架11,正常,车000044,客车,1.0,1645511406.0
门架12,正常,车000044,客车,1.0,1645511846.0
门架13,正常,车000044,客车,1.0,1645511874.0
门架14,正常,车000044,客车,1.0,1645512156.0
门架15,正常,车000044,客车,1.0,1645513012.0
门架1,正常,车000045,客车,1.0,1645586646.0
门架2,正常,车000045,客车,1.0,1645588517.0
门架7,正常,车000046,客车,1.0,1645488551.0
门架8,正常,车000046,客车,1.0,1645489195.0
门架9,正常,车000046,客车,1.0,1645489535.0
门架10,正常,车000046,客车,1.0,1645489625.0
门架1,正常,车000047,客车,2.0,1645871679.0
门架2,正常,车000047,客车,2.0,1645873561.0
门架3,正常,车000047,客车,2.0,1645873599.0
门架4,正常,车000047,客车,2.0,1645874031.0
门架5,正常,车000048,货车,1.0,1645575161.0
门架6,正常,车000048,货车,1.0,1645575350.0
门架4,正常,车000048,货车,2.0,1645763818.0
门架5,正常,车000048,货车,2.0,1645764231.0
门架6,正常,车000048,货车,2.0,1645764405.0
门架5,正常,车000049,客车,1.0,1645491962.0
门架6,正常,车000049,客车,1.0,1645492076.0
门架7,正常,车000049,客车,1.0,1645492255.0
门架8,正常,车000049,客车,1.0,1645492852.0
门架9,正常,车000049,客车,1.0,1645493180.0
门架10,正常,车000049,客车,1.0,1645493255.0
门架14,正常,车000050,客车,1.0,1645599301.0
门架15,正常,车000050,客车,1.0,1645599966.0
门架8,正常,车000050,客车,2.0,1645966225.0
门架9,正常,车000050,客车,2.0,1645966615.0
门架10,正常,车000050,客车,2.0,1645966730.0
门架11,正常,车000050,客车,2.0,1645966956.0
门架12,正常,车000050,客车,2.0,1645967402.0
门架6,漏过,车000051,客车,1.0,1645744080.0
门架5,正常,车000051,客车,1.0,1645743910.0
门架7,正常,车000051,客车,1.0,1645744250.0
门架8,正常,车000051,客车,1.0,1645744870.0
门架9,正常,车000051,客车,1.0,1645745194.0
门架10,正常,车000051,客车,1.0,1645745270.0
门架11,正常,车000051,客车,1.0,1645745490.0
门架12,正常,车000051,客车,1.0,1645745810.0
门架13,正常,车000051,客车,1.0,1645745935.0
门架14,正常,车000051,客车,1.0,1645746250.0
门架15,正常,车000051,客车,1.0,1645747001.0
门架14,正常,车000052,客车,1.0,1645496296.0
门架15,正常,车000052,客车,1.0,1645496996.0
门架7,正常,车000053,客车,1.0,1645680192.0
门架8,正常,车000053,客车,1.0,1645680785.0
门架9,正常,车000053,客车,1.0,1645681086.0
门架10,正常,车000053,客车,1.0,1645681175.0
门架11,正常,车000053,客车,1.0,1645681425.0
门架12,正常,车000053,客车,1.0,1645681820.0
门架13,正常,车000053,客车,1.0,1645681912.0
门架14,正常,车000053,客车,1.0,1645682112.0
门架15,正常,车000053,客车,1.0,1645682886.0
门架7,正常,车000053,客车,2.0,1645939276.0
门架8,正常,车000053,客车,2.0,1645939965.0
门架9,正常,车000053,客车,2.0,1645940322.0
门架10,正常,车000053,客车,2.0,1645940411.0
门架11,正常,车000053,客车,2.0,1645940795.0
门架12,正常,车000053,客车,2.0,1645941067.0
门架13,正常,车000053,客车,2.0,1645941069.0
门架14,正常,车000053,客车,2.0,1645941336.0
门架15,正常,车000053,客车,2.0,1645942046.0
门架7,正常,车000054,客车,1.0,1645778397.0
门架8,正常,车000054,客车,1.0,1645779070.0
门架9,正常,车000054,客车,1.0,1645779401.0
门架10,正常,车000054,客车,1.0,1645779488.0
门架11,正常,车000054,客车,1.0,1645779682.0
门架12,正常,车000054,客车,1.0,1645780127.0
门架12,正常,车000055,客车,1.0,1645698911.0
门架14,正常,车000055,客车,2.0,1645840917.0
门架15,正常,车000055,客车,2.0,1645841594.0
门架4,正常,车000056,客车,1.0,1645515384.0
门架5,正常,车000056,客车,1.0,1645515684.0
门架6,正常,车000056,客车,1.0,1645515801.0
门架4,正常,车000056,客车,2.0,1645678975.0
门架5,正常,车000056,客车,2.0,1645679261.0
门架7,正常,车000057,客车,1.0,1645746776.0
门架8,正常,车000057,客车,1.0,1645747344.0
门架9,正常,车000057,客车,1.0,1645747645.0
门架10,正常,车000057,客车,1.0,1645747721.0
门架5,正常,车000058,客车,1.0,1645512696.0
门架6,正常,车000058,客车,1.0,1645512832.0
门架7,正常,车000058,客车,1.0,1645513041.0
门架8,正常,车000058,客车,1.0,1645513741.0
门架9,正常,车000058,客车,1.0,1645514115.0
门架10,正常,车000058,客车,1.0,1645514209.0
门架7,正常,车000059,客车,2.0,1645855115.0
门架8,正常,车000059,客车,2.0,1645855755.0
门架9,正常,车000059,客车,2.0,1645856090.0
门架10,正常,车000059,客车,2.0,1645856171.0
门架7,正常,车000060,货车,1.0,1645512921.0
门架8,正常,车000060,货车,1.0,1645513580.0
门架9,正常,车000060,货车,1.0,1645513915.0
门架10,正常,车000060,货车,1.0,1645514001.0
门架11,正常,车000060,货车,1.0,1645514185.0
门架12,正常,车000060,货车,1.0,1645514552.0
门架13,正常,车000060,货车,1.0,1645514641.0
门架14,正常,车000060,货车,1.0,1645515041.0
门架15,正常,车000060,货车,1.0,1645515712.0
门架7,正常,车000060,货车,2.0,1645599072.0
门架8,正常,车000060,货车,2.0,1645599675.0
门架9,正常,车000060,货车,2.0,1645600005.0
门架10,正常,车000060,货车,2.0,1645600091.0
门架11,正常,车000060,货车,2.0,1645600275.0
门架12,正常,车000060,货车,2.0,1645600712.0
门架13,正常,车000060,货车,2.0,1645600725.0
门架14,正常,车000060,货车,2.0,1645601092.0
门架15,正常,车000060,货车,2.0,1645601796.0
门架7,正常,车000060,货车,3.0,1645685619.0
门架8,正常,车000060,货车,3.0,1645686242.0
门架9,正常,车000060,货车,3.0,1645686572.0
门架10,正常,车000060,货车,3.0,1645686655.0
门架11,正常,车000060,货车,3.0,1645686839.0
门架12,正常,车000060,货车,3.0,1645687322.0
门架13,正常,车000060,货车,3.0,1645687391.0
门架14,正常,车000060,货车,3.0,1645687646.0
门架15,正常,车000060,货车,3.0,1645688436.0
门架7,正常,车000060,货车,4.0,1645772415.0
门架8,正常,车000060,货车,4.0,1645772990.0
门架9,正常,车000060,货车,4.0,1645773312.0
门架10,正常,车000060,货车,4.0,1645773396.0
门架11,正常,车000060,货车,4.0,1645773590.0
门架12,正常,车000060,货车,4.0,1645773955.0
门架13,正常,车000060,货车,4.0,1645774172.0
门架14,正常,车000060,货车,4.0,1645774498.0
门架15,正常,车000060,货车,4.0,1645775125.0
门架7,正常,车000060,货车,5.0,1645858725.0
门架8,正常,车000060,货车,5.0,1645859372.0
门架9,正常,车000060,货车,5.0,1645859691.0
门架10,正常,车000060,货车,5.0,1645859775.0
门架11,正常,车000060,货车,5.0,1645859960.0
门架12,正常,车000060,货车,5.0,1645860301.0
门架13,正常,车000060,货车,5.0,1645860417.0
门架14,正常,车000060,货车,5.0,1645860732.0
门架15,正常,车000060,货车,5.0,1645861463.0
门架7,正常,车000060,货车,6.0,1645944891.0
门架8,正常,车000060,货车,6.0,1645945591.0
门架9,正常,车000060,货车,6.0,1645945926.0
门架10,正常,车000060,货车,6.0,1645946006.0
门架11,正常,车000060,货车,6.0,1645946191.0
门架12,正常,车000060,货车,6.0,1645946583.0
门架13,正常,车000060,货车,6.0,1645946767.0
门架14,正常,车000060,货车,6.0,1645947091.0
门架15,正常,车000060,货车,6.0,1645947686.0
门架1,正常,车000061,货车,1.0,1645628390.0
门架2,正常,车000061,货车,1.0,1645630560.0
门架1,正常,车000061,货车,2.0,1645802030.0
门架2,正常,车000061,货车,2.0,1645804380.0
门架4,正常,车000062,客车,1.0,1645923490.0
门架5,正常,车000062,客车,1.0,1645923791.0
门架6,正常,车000062,客车,1.0,1645923916.0
门架7,正常,车000062,客车,1.0,1645924116.0
门架8,正常,车000062,客车,1.0,1645924730.0
门架9,正常,车000062,客车,1.0,1645925071.0
门架10,正常,车000062,客车,1.0,1645925152.0
门架11,正常,车000062,客车,1.0,1645925422.0
门架12,正常,车000062,客车,1.0,1645925712.0
门架13,正常,车000062,客车,1.0,1645925817.0
门架14,正常,车000062,客车,1.0,1645926157.0
门架12,正常,车000063,货车,2.0,1645587151.0
门架13,正常,车000063,货车,2.0,1645587336.0
门架14,正常,车000063,货车,2.0,1645587721.0
门架12,正常,车000063,货车,4.0,1645750982.0
门架4,正常,车000064,客车,1.0,1645585860.0
门架4,正常,车000064,客车,2.0,1645755355.0
门架3,正常,车000064,客车,3.0,1645843596.0
门架4,正常,车000064,客车,3.0,1645844023.0
门架4,正常,车000064,客车,4.0,1645934370.0
门架1,正常,车000065,客车,1.0,1645843167.0
门架2,正常,车000065,客车,1.0,1645844665.0
门架3,正常,车000065,客车,1.0,1645844736.0
门架10,正常,车000066,货车,1.0,1645588066.0
门架11,正常,车000066,货车,1.0,1645588411.0
门架12,正常,车000066,货车,1.0,1645588847.0
门架13,正常,车000066,货车,1.0,1645588946.0
门架14,正常,车000066,货车,1.0,1645589384.0
门架15,正常,车000066,货车,1.0,1645590436.0
门架12,漏过,车000066,货车,4.0,1645689614.5
门架13,漏过,车000066,货车,4.0,1645690120.0
门架10,正常,车000066,货车,4.0,1645689090.0
门架11,正常,车000066,货车,4.0,1645689330.0
门架13,正常,车000066,货车,4.0,1645689899.0
门架12,正常,车000066,货车,4.0,1645689899.0
门架14,正常,车000066,货车,4.0,1645690341.0
门架15,正常,车000066,货车,4.0,1645693791.0
门架4,正常,车000067,货车,1.0,1645859175.0
门架5,正常,车000067,货车,1.0,1645859532.0
门架6,正常,车000067,货车,1.0,1645859685.0
门架7,正常,车000067,货车,1.0,1645859940.0
门架8,正常,车000067,货车,1.0,1645860675.0
门架9,正常,车000067,货车,1.0,1645861102.0
门架10,正常,车000067,货车,1.0,1645861213.0
门架2,正常,车000068,货车,1.0,1645749855.0
门架3,正常,车000068,货车,1.0,1645749945.0
门架4,正常,车000068,货车,1.0,1645750445.0
门架5,正常,车000068,货车,1.0,1645750825.0
门架4,正常,车000069,货车,1.0,1645929431.0
门架7,正常,车000070,客车,1.0,1645495155.0
门架8,正常,车000070,客车,1.0,1645495822.0
门架9,正常,车000070,客车,1.0,1645496156.0
门架10,正常,车000070,客车,1.0,1645496242.0
门架11,正常,车000070,客车,1.0,1645496425.0
门架12,正常,车000070,客车,1.0,1645496906.0
门架5,正常,车000071,客车,1.0,1645869732.0
门架6,正常,车000071,客车,1.0,1645869911.0
门架7,正常,车000071,客车,1.0,1645870178.0
门架8,正常,车000071,客车,1.0,1645870770.0
门架9,正常,车000071,客车,1.0,1645871125.0
门架10,正常,车000071,客车,1.0,1645871218.0
门架1,正常,车000072,客车,1.0,1645677451.0
门架2,正常,车000072,客车,1.0,1645679021.0
门架3,正常,车000072,客车,1.0,1645679095.0
门架1,正常,车000073,客车,1.0,1645764305.0
门架2,正常,车000073,客车,1.0,1645765819.0
门架3,正常,车000073,客车,1.0,1645765896.0
门架4,正常,车000073,客车,1.0,1645766315.0
门架7,正常,车000074,货车,1.0,1645842232.0
门架8,正常,车000074,货车,1.0,1645843145.0
门架9,正常,车000074,货车,1.0,1645843572.0
门架10,正常,车000074,货车,1.0,1645843677.0
门架11,正常,车000074,货车,1.0,1645844012.0
门架12,正常,车000074,货车,1.0,1645844386.0
门架13,正常,车000074,货车,1.0,1645844518.0
门架6,正常,车000075,货车,1.0,1645510921.0
门架7,正常,车000076,客车,2.0,1645695536.0
门架8,正常,车000076,客车,2.0,1645696085.0
门架9,正常,车000076,客车,2.0,1645696380.0
门架10,正常,车000076,客车,2.0,1645696456.0
门架11,正常,车000076,客车,2.0,1645696688.0
门架12,正常,车000076,客车,2.0,1645697143.0
门架13,正常,车000076,客车,2.0,1645697145.0
门架14,正常,车000076,客车,2.0,1645697446.0
门架7,正常,车000077,客车,1.0,1645488755.0
门架8,正常,车000077,客车,1.0,1645489340.0
门架9,正常,车000077,客车,1.0,1645489660.0
门架10,正常,车000077,客车,1.0,1645489741.0
门架11,正常,车000077,客车,1.0,1645489910.0
门架12,正常,车000077,客车,1.0,1645490346.0
门架13,正常,车000077,客车,1.0,1645490366.0
门架14,正常,车000077,客车,1.0,1645490762.0
门架15,正常,车000077,客车,1.0,1645491441.0
门架6,正常,车000078,客车,1.0,1645487640.0
门架9,漏过,车000078,客车,2.0,1645584993.5
门架7,正常,车000078,客车,2.0,1645584085.0
门架8,正常,车000078,客车,2.0,1645584771.0
门架10,正常,车000078,客车,2.0,1645585216.0
门架11,正常,车000078,客车,2.0,1645585401.0
门架12,正常,车000078,客车,2.0,1645585886.0
门架8,正常,车000078,客车,3.0,1645671476.0
门架9,正常,车000078,客车,3.0,1645671836.0
门架10,正常,车000078,客车,3.0,1645671921.0
门架11,正常,车000078,客车,3.0,1645672121.0
门架12,正常,车000078,客车,3.0,1645672545.0
门架7,正常,车000078,客车,4.0,1645692345.0
门架8,正常,车000078,客车,4.0,1645692970.0
门架9,正常,车000078,客车,4.0,1645693325.0
门架10,正常,车000078,客车,4.0,1645693405.0
门架11,正常,车000078,客车,4.0,1645693597.0
门架12,正常,车000078,客车,4.0,1645693987.0
门架7,正常,车000078,客车,5.0,1645849854.0
门架8,正常,车000078,客车,5.0,1645850497.0
门架9,正常,车000078,客车,5.0,1645850814.0
门架10,正常,车000078,客车,5.0,1645850905.0
门架11,正常,车000078,客车,5.0,1645851165.0
门架12,正常,车000078,客车,5.0,1645851486.0
门架4,正常,车000078,客车,6.0,1645869596.0
